All,Всички
"""Need a New Relic account? <a href=""http://www.newrelic.com/magento"" target=""_blank"">Click here to get one","""Нужда от нов следа сметка? <a href=""http://www.newrelic.com/magento"" target=""_blank""> Щракнете тук, за да се получи един"
"New Relic Application ID","Нови следи ИД на приложение"
"This can commonly be found at the end of the URL when viewing the APM after ""/applications/""","Това обикновено могат да бъдат намерени в края на URL, когато разглеждате APM след ""/ приложения /"""
"New Relic API Key","Нова следа API ключ"
"This is located by navigating to Events -> Deployments from the New Relic APM website","Този се намира от навигацията на събития-> разполагания от сайта на нова следа APM"
"Insights API Key","Прозрения API ключ"
"Generated under Insights in Manage data -> API Keys -> Insert Keys","Генерирана под прозрения управлявам данни-> API ключове-> вмъкнете ключове"
"New Relic Application Name","Новa следа приложение име"
"This is located by navigating to Settings from the New Relic APM website","Този се намира от навигацията на настройки от уеб сайта на новия следа APM"
"Enable Cron","Разреши Cron"
"Send Adminhtml and Frontend as Separate Apps","Изпратете Adminhtml и Frontend като отделни приложения"
"In addition to the main app (which includes all PHP execution), separate apps for adminhtml and frontend will be created. Requires New Relic Application Name to be set.","В допълнение към основното приложение (което включва цялото изпълнение на PHP), ще бъдат създадени отделни приложения за adminhtml и frontend. Изисква да се зададе ново име на приложението Relic."
"Delete Selected Problems","Изтриване на избраните проблеми"
"Unsubscribe Selected","Отпиши избраните"
"Save Newsletter","Запази Бюлетин"
"Save and Resume","Запази и прегледай"
"View Newsletter","Преглед бюлетин"
"Edit Newsletter","Редактиране на бюлетин"
"Queue Information","Информация за опашката"
"Queue Date Start","Начална дата на опашката"
"Subscribers From","Абонати от"
"Newsletter Styles","Бюлетин стилове"
Pause,Пауза
"Do you really want to cancel the queue?","Наистина ли искате да отмените опашката?"
Resume,Възобнови
"Return HTML Version","Върни Html версия"
"Save As","Запази като"
"Edit Newsletter Template","Редактирай шаблон на бюлетин
"
"New Newsletter Template","Нов Шаблон на бюлетин"
"Queue Newsletter","Бюлетин на опашката"
"We unsubscribed the people you identified.","Отписахме хората, които идентифицирахте."
"The problems you identified have been deleted.","Проблема, който идентифицирахте е изтрит."
"Newsletter Problems Report","Доклад за проблеми в бюлетина"
"Newsletter Problem Reports","Доклади за проблеми в бюлетина"
"Edit Queue","Редактиране на опашката"
"Please correct the newsletter template and try again.","Please correct the Шаблон бюлетин and try again."
"You saved the newsletter queue.","You saved the Бюлетин на изчакване."
Subscribers,Абонати
"Please select one or more subscribers.","Моля изберете една или повече категории."
"Total of %1 record(s) were deleted.","Сума от %1 запис(и) бяха изтрити"
"The newsletter template has been deleted.","Шаблон бюлетин беше изтрит."
"We can't delete this template right now.","Не може да изтриете този шаблон точно сега."
"Create Newsletter Template","Create Шаблон бюлетин"
"The newsletter template has been saved.","The Шаблон бюлетин has been saved."
"Something went wrong while saving this template.","Нещо се обърка при запазването на този шаблон."
"Something went wrong while saving your subscription.","Нещо се обърка при запазването на абонамента ви."
"Your subscription has been confirmed.","Вашият абонамент е потвърден."
"This is an invalid subscription confirmation code.","Това е невалиден код за потвърждение на абонамента."
"This is an invalid subscription ID.","Това е невалиден идентификатор на абонамента."
"This email address is already assigned to another user.","Този имейл адрес вече е присвоен на друг потребител."
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Съжаляваме, но администраторът отказа абонамент за гостите. """" Моля, <a href=""%1""> Регистрирайте се</a>."
"This email address is already subscribed.","Този имейл адрес вече е записан."
"The confirmation request has been sent.","Изпратена е заявка за потвърждение."
"Thank you for your subscription.","Благодарим ви за вашия абонамент."
"Something went wrong with the subscription.","Нещо се обърка с абонамента."
"You unsubscribed.","Отписахте се."
"Something went wrong while unsubscribing you.","Нещо се обърка при прекратяване на абонамента ви."
Cancelled,Отказан
"There are no subscribers selected.","Няма избрани абонати."
"You selected an invalid queue.","Избрахте невалидна опашка."
"We cannot mark as received subscriber.","Не можем да маркираме като получен абонат."
"Duplicate template code","Дублиран шаблонен код"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Следвайте тази връзка да се отпишете <!--Този етикет е за отпишете връзка--> ""' <a href=""{{var subscriber.getUnsubscriptionLink()}}""> {{var subscriber.getUnsubscriptionLink()}}' '</a>"
"Choose Store View:","Изберете изглед на магазина:"
"Newsletter Message Preview","Преглед на съобщението за бюлетин"
"Add to Queue","Добавяне към опашка"
"Are you sure that you want to strip all tags?","Сигурни ли сте, че искате да премахнете всички тагове?"
"Please enter a new template name.","Моля въведете ново име на шаблон."
" Copy"," Копирай"
"Sign Up for Our Newsletter:","Абонирай се за нашия е-бюлетин:"
"Enter your email address","Въведете Вашия имейл адрес"
Subscribe,Абониране
"Newsletter subscription confirmation","Потвърждение на абонамент за бюлетин"
"Thank you for subscribing to our newsletter.","Благодаря ви за абонирането за нашия бюлетин."
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","За да започнете да получавате на бюлетин, трябва първо да потвърдите абонамента си като кликнете на следния линк:"
"Newsletter subscription success","Бюлетин абонамент успех"
"You have been successfully subscribed to our newsletter.","Успешно се абонирахте за нашия бюлетин."
"Newsletter unsubscription success","Бюлетин отписване успех"
"You have been unsubscribed from the newsletter.","Вие сте отписани от бюлетина."
"Newsletter Template","Шаблон бюлетин"
"Newsletter Section","Секция ""бюлетин"""
"Subscription Options","Избор на бюлетини"
"Allow Guest Subscription","Позволи гости абонамент"
"Need to Confirm","Трябва да потвърдите"
"Confirmation Email Sender","Потвърждение на имейл подател"
"Confirmation Email Template","Шаблон на имейл за потвърждение"
"Success Email Sender","Успех имейл подател"
"Success Email Template","Успех имейл шаблон"
"Unsubscription Email Sender","Отписване от имейл подател"
"Unsubscription Email Template","Шаблон на имейл за отписване"
"We found no problems.","Ние открихме никакви проблеми."
Subscriber,Абонат
"Queue Start Date","Начална дата на опашката"
"Queue Subject","Предмет на опашката"
"Error Code","Код на грешка"
"Error Text","Текст на грешката"
"Queue Start","Старт на опашката"
"Queue End","Край на опашката"
Processed,Преработени
Recipients,Получателите
Unsubscribe,Отписване
"Customer First Name","Първото име на клиент"
"Customer Last Name","Фамилно име на клиент"
"Not Activated","Не е активиран"
Subscribed,абониран
Unsubscribed,Отписан
Unconfirmed,Непотвърден
"Newsletter Subscriptions","Абонамент за бюлетин"
"We have saved your subscription.","Успешно се абонирахте за бюлетин."
"A confirmation request has been sent.","Изпратена е заявка за потвърждение."
"We have removed your newsletter subscription.","Успешно се отписахте от абонамента си за бюлетин."
"We have updated your subscription.","Актуализирахте абонамента си."
"General Options","Общи опции"
"Make Check payable to:","Направи чековете платими за:"
"Send Check to:","Изпрати проверка за:"
"Purchase Order Number","Номер на поръчка"
"Make Check payable to: %1","Направи чека платим на: %1"
"Purchase Order Number: %1","Номер на поръчка за покупка: %1"
"Make Check payable to","Направи проверка в платими на"
"Send Check to","Изпрати проверка за"
"Check / Money Order","Чек / пощенски запис"
"Make Check Payable to","Направи проверка в платими на"
"Purchase Order","Поръчка за покупка"
"Bank Transfer Payment","Плащане с банков превод"
Instructions,Инструкции
"Cash On Delivery Payment","В брой, при доставка"
"Purchase order number is a required field.","Номера на поръчката е задължително поле."
"Shipping Price","Цена за доставка"
"Export CSV","Експорт CVS"
"Store Pickup","Вземане от магазина"
"Weight vs. Destination","Тегло срещу местоназначение"
"Price vs. Destination","Цена срещу местоназначение"
"# of Items vs. Destination","# на артикули срещу местоназначение"
"Weight (and above)","Тегло (и по-горе)"
"Order Subtotal (and above)","Поръчайте междинна сума (и по-горе)"
"# of Items (and above)","# на артикули (и по-горе)"
"Per Order","На поръчка"
"Per Item","На артикул"
"Unable to import data","Не може да импортира данни"
"Something went wrong while importing table rates.","Нещо се обърка, докато импортирахте проценти в таблицата"
"We couldn't import this file because of these errors: %1","Не може да импортирате този файл поради следните грешки: %1"
"Requested column ""%1"" cannot be resolved","Исканата колона ""%1"" не може да бъде разрешена"
"Column ""%1"" not found","Колона ""%1"" не е намерена"
"Please correct %1 ""%2"" in the Row #%3.","Коригирайте %1 ""%2"" в ред #%3."
"Duplicate Row #%1 (duplicates row #%2)","Дублиран ред #%1 (дублиран ред #%2)"
"For matching items only","За съвпадащи елементи само"
"For shipment with matching items","За пратка със съвпадащи елементи"
"Flat Rate","Единна ставка"
"Method Name","Метод име"
"Table Rates","Проценти таблица"
"Include Virtual Products in Price Calculation","Включва виртуални продукти при изчисляване на цената"
"Free Shipping","Безплатна доставка"
"Minimum Order Amount","Минимално количество на поръчката"
"Sorry, but we can't deliver to the destination country with this shipping module.","Съжаляваме, но ние не може да достави до страната по местоназначение с този модул за доставка."
"Export VCL for Varnish %1","Експортиране на VCL  %1"
"Ttl value ""%1"" is not valid. Please use only numbers equal or greater than zero.","TTL стойност ""%1"" не е валидна. Използвайте само цифри, равно или по-голямо от нула."
"Built-in Cache","Вграден кеш"
"Varnish Cache (Recommended)","Лак кеш (препоръчително)"
"Full Page Cache","Цяла страница кеш"
"Caching Application","Заявление за кеширане"
"Varnish Configuration","Лак конфигурация"
"Access list","Достъп до списък"
"IPs access list separated with ',' that can purge Varnish configuration for config file generation.
                            If field is empty default value localhost will be saved.","Списък за достъп на IP адреси, разделени с "","" който може да прочисти лак конфигуриране за конфигуриране на  файл поколение.                             Ако полето е празно по подразбиране стойността localhost ще бъдат записани."
"Backend host","Бекенда домакин"
"Specify backend host for config file generation. If field is empty default value localhost will be saved.","Задайте бекенда хост за конфигурационния файл поколение. Ако полето е празно по подразбиране стойността localhost ще бъдат записани."
"Backend port","Бекенда порт"
"Specify backend port for config file generation. If field is empty default value 8080 will be saved.","Задайте сървъра порт за конфигурационния файл поколение. Ако полето е празно, ще бъдат записани по подразбиране стойност 8080."
"Grace period","Гратисен период"
"Specify grace period in seconds for config file generation. If field is empty default value 300 will be saved. This grace period will be used to serve cached content when the server is healthy. If the server is not healthy, cached content will be served for 3 days before failing.","Задайте гратисен период в секунди за конфигурационния файл поколение. Ако полето е празно по подразбиране стойност 300 ще бъдат записани. Този гратисен период ще бъдат използвани да обслужват кеширана съдържание, когато сървърът е здрава. Ако сървърът не е здрав, кеширано съдържание ще бъде връчено за 3 дни преди да завърши неуспешно."
"TTL for public content","TTL за публично съдържание"
"Public content cache lifetime in seconds. If field is empty default value 86400 will be saved.","Времетраене на публичното съдържание на кеша в секунди. Ако полето е празно, тогава по подразбиране стойноста от 86400 ще бъде запазена."
"Page Cache","Кеш за страница"
"Full page caching","Цяла страница кеширане"
"Access List value ""%1"" is not valid. Please use only IP addresses and host names.","Стойността на списъка за достъп ""%1"" не е валидна. Моля, използвайте само IP адреси и имена на хостове."
"Export Configuration","Конфигурация за експортиране"
"We cannot retrieve the payment method model object.","Не можем да получим информация за плащането."
"We cannot retrieve the payment info model object.","Не можем да получим информация за плащането."
"Switch/Solo/Maestro Issue Number","Номер на издаване на Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Switch/Solo/Maestro начална дата"
"We cannot retrieve the transparent payment method model object.","Не може да извлече обекта за модел на прозрачни методи на плащане."
"All Allowed Countries","Всички позволени страни"
"Specific Countries","Конкретни страни"
"The payment method you requested is not available.","Методът на плащане, който заявихте не е наличен."
"The payment disallows storing objects.","Плащането не позволява съхраняване на обекти."
"We cannot retrieve the payment method code.","Не може да извлече кода на метода на плащане."
"We cannot retrieve the payment information object instance.","Не може да извлече екземпляр от обект с информация за плащане."
"You can't use the payment type you selected to make payments to the billing country.","Не можете да използвате вида на плащането, което сте избрали за извършване на плащания към страната на плащане."
"The order action is not available.","Не е налично действие за поръчка"
"The authorize action is not available.","Разрешете действие не е налично."
"The capture action is not available.","Снемане на действие не е налично."
"The refund action is not available.","Действието за възстановяване не е налично."
"The void action is not available.","Невалидно действие не е налично."
"The payment review action is unavailable.","Преглед на плащане не е достъпен."
"The credit card number doesn't match the credit card type.","Номера на кредитната карта не съвпада с типа кредитна карта."
"Invalid Credit Card Number","Грешен номер на картата"
"This credit card type is not allowed for this payment method.","Тази кредитна карта не е позволена за този метод на плащане."
"Please enter a valid credit card verification number.","Моля, въведете валиден номер за проверка на кредитна карта."
"Please enter a valid credit card expiration date.","Моля, въведете валидна дата на изтичване на кредитната карта."
"%1 class doesn't implement \Magento\Payment\Model\MethodInterface","%1 клас не реализира \Magento\Payment\Model\MethodInterface"
"Failure #1","Грешка #1"
"Failure #2","Грешка #2"
"Payment method","Начин на плащане"
" is not available. You still can process offline actions."," не е налично. Можете да продължите с офлайн действията."
"We'll ask for your payment details before you place an order.","Ще помолим за Вашите данни за плащане, преди да направите поръчка."
"Please enter a valid credit card type number.","Моля, въведете номер на валидна кредитна карта."
"Please enter a valid credit card number.","Моля, въведете номер на валидна кредитна карта."
"Incorrect credit card expiration month.","Неправилен срок на валидност ( месец на изтичане) на картата."
"Incorrect credit card expiration year.","Неправилна година на изтичане на картата."
"Payment Methods Section","Раздел Методи на плащане"
"Payment Services","Платежни услуги"
"Please provide payment for the order.","Моля, осигурете плащане за поръчката."
"The ""%1"" command executor isn't defined. Verify the executor and try again.","Изпълнителят на командата ""%1"" не е дефиниран. Проверете изпълнителя и опитайте отново."
"The ""%1"" command doesn't exist. Verify the command and try again.","Командата ""%1"" не съществува. Проверете командата и опитайте отново."
"The gateway response format was incorrect. Verify the format and try again.","Форматът на отговора на гейтуея беше неправилен. Проверете формата и опитайте отново."
"The validator for the ""%1"" field doesn't exist.","Валидаторът за полето „%1“ не съществува."
"Billing Agreements","Споразумения за плащане"
"Reference ID","Референтен номер"
"Billing Agreement #%1","Споразумение за фактуриране #%1"
"Related Orders","Свързани поръчки"
"Billing Agreement View","Преглед на споразумение за фактуриране"
"Are you sure you want to authorize full order amount?","Наистина ли искате да разрешите пълната сума на поръчката?"
"View Transaction Details","Преглед на подробни данни за транзакцията"
"Reference Information","Справочна информация"
"Transaction Information","Информация за транзакция"
"PayPal Fee Information","PayPal такса информация"
"We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?","Свързахте се с PayPal SFTP сървър да изтеглите нови отчети. Наистина ли искате да продължите?"
"Fetch Updates","Извличане на актуализации"
Help,Помощ
"View Demo","Виж демо версията"
"See terms","Виж условията"
"You will be redirected to the PayPal website.","Ще бъдете пренасочени към сайта на PayPal."
"You will be redirected to the PayPal website when you place an order.","Ще бъдете пренасочени към сайта на PayPal след приключване на поръчката"
"Invalid block type","Невалиден тип блок"
"Please specify the correct billing agreement ID and try again.","Моля Задайте правилния ИД на споразумение за фактуриране и опитайте отново."
"You canceled the billing agreement.","Отменихте споразумението за фактуриране."
"We can't cancel the billing agreement.","Не може да анулира договора за фактуриране."
"You deleted the billing agreement.","Изтрихте споразумението за фактуриране."
"We can't delete the billing agreement.","Не може да изтрие Споразумението за фактуриране."
"Payment authorization has been successfully created.","Оторизацията за плащане е създадена успешно."
"Unable to make payment authorization.","Не може да се направи оторизация за плащане."
"View Transaction","Преглед на транзакция"
"We found nothing to fetch because of an empty configuration.","Не намерихме нищо за извличане поради празна конфигурация."
"We fetched %1 report rows from ""%2@%3.""","Извлякохме %1 реда в отчета от ""%2@%3."""
"We can't fetch reports from ""%1@%2.""","We can't fetch Доклади from ""%1@%2."""
"The billing agreement ""%1"" has been canceled.","Споразумението за таксуване ""%1"" е анулирано."
"The billing agreement ""%1"" has been created.","Споразумението за таксуване ""%1"" е създадено."
"We couldn't finish the billing agreement wizard.","Не успяхме да завършим съветника за споразумението за фактуриране."
"We can't start the billing agreement wizard.","Не може да стартира съветника за споразумение за фактуриране."
"Billing Agreement # %1","Споразумение за фактуриране # %1"
"We can't initialize Express Checkout.","Не може да инициализира Express Checkout."
"PayPal Express Checkout Token does not exist.","PayPal Express Checkout Token не съществува."
"A wrong PayPal Express Checkout Token is specified.","Посочен е грешен токен за PayPal Express Checkout."
"Express Checkout and Order have been canceled.","Експресно плащане и поръчка са анулирани."
"Express Checkout has been canceled.","Експресно плащане е анулирано."
"Unable to cancel Express Checkout","Не може да се анулира експресното плащане"
"We can't process Express Checkout approval.","Не може да обработи Express Checkout одобрение."
"We can't initialize Express Checkout review.","Не може да инициализира Express Checkout преглед."
"We can't start Express Checkout.","Не може да стартира Express Checkout."
"To check out, please sign in with your email address.","За да поръчате, моля влезте в профила си с Вашия email адрес."
"Requested payment method does not match with order.","Заявения начин на плащане не съвпада с поръчката."
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Искате ли да подпишете споразумение за фактуриране, за да рационализирате по-нататъшните покупки с PayPal?"
"Authorization is not allowed.","Упълномощаване не е позволено."
"Payment Gateway is unreachable at the moment. Please use another payment option.","В момента Payment Gateway е недостъпен. Моля, използвайте друга опция за плащане."
"PayPal response hasn't required fields.","PayPal отговор няма задължителни полета."
"Something went wrong while processing your order.","Нещо се обърка докато обработвахме вашата заявката."
"PayPal gateway has rejected request. %1","PayPal gateway отхвърли искането. %1"
"The PayPal gateway rejected the request. %1","PayPal gateway отхвърля искането. %1"
"I'm sorry - but we were not able to process your payment. Please try another payment method or contact us so we can assist you.","Съжалявам - но ние не бяхме в състояние да обработим плащането ви. Опитайте друг метод на плащане или се свържете с нас, така че ние може да ви помогне."
"I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you.","Съжалявам - но ние не сме в състояние да завършим вашата сделка. Моля свържете се с нас, за да ви помогнем."
"A match of the Shipping Address City, State, and Postal Code failed.","Неуспешно съвпадение на адреса за доставка област, град и пощенски код."
"The payment method code is not set.","Кодът на метода на плащане не е зададен."
"The reference ID is not set.","Референтното ID не е зададено."
"Unable to save Billing Agreement:","Споразумението за таксуване не може да се запази:"
"The customer ID is not set.","ID на клиента не е зададен."
"The Billing Agreement status is not set.","Състоянието на Споразумението за таксуване не е зададено."
"The PayPal certificate does not exist.","The PayPal сертификата не съществува."
"We prefer PayPal (150 X 60)","Предпочитаме PayPal (150 Х 60)"
"We prefer PayPal (150 X 40)","Предпочитаме PayPal (150 Х 40)"
"Now accepting PayPal (150 X 60)","Вече приема PayPal (150 X 60)"
"Now accepting PayPal (150 X 40)","Вече приема PayPal (150 X 40)"
"Payments by PayPal (150 X 60)","Плащания чрез PayPal (150 X 60)"
"Payments by PayPal (150 X 40)","Плащания чрез PayPal (150 X 40)"
"Shop now using (150 X 60)","Пазарувайте сега, като използвате (150 X 60)"
"Shop now using (150 X 40)","Пазарувайте сега, като използвате (150 X 40)"
Shortcut,"Пряк път"
Authorization,Разрешение
Auto,Автоматично
"Ask Customer","Попитайте Клиента"
"API Signature","API подпис"
"API Certificate","API Сертификат"
"We'll authorize the amount of %1 as soon as the payment gateway approves it.","Ще разрешим сумата на %1, веднага щом плащането бъде одобрено от терминала."
"The authorized amount is %1.","Разрешената сума е %1."
"PayPal can't process orders with a zero balance due. To finish your purchase, please go through the standard checkout process.","PayPal не може да обработи поръчки с нулев остатък. За да завършите вашата покупка, моля минете през стандартен шах процес."
"A payer is not identified.","Платеца не е идентифициран."
"Last Transaction ID","ID на последната транзакция"
"This customer didn't include a confirmed address.","Този клиент не включва потвърден адрес."
"The payment is authorized but not settled.","Плащането е разрешено, но не е уредено."
"The payment eCheck is not cleared.","Плащане eCheck все още не е изчистена."
"The merchant holds a non-U.S. account and doesn't have a withdrawal mechanism.","Търговецът притежава сметка извън Сащ и не разполага с механизъм за оттегляне."
"The payment currency doesn't match any of the merchant's balances currency.","Валутата на плащането не съвпада с никой от търговските салда валута."
"The payment is pending while it is being reviewed by PayPal for risk.","Плащането е в изчакване, докато се преглежда от PayPal за риск."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","Плащането е в изчакване, защото е извършено на имейл адрес, който все още не е регистриран или потвърден."
"The merchant account is not yet verified.","Търговският профил все още не е потвърден."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","Плащането беше направено с кредитна карта. За да получи средствата търговецът трябва да надгради профила си до Business или Premier."
"Sorry, but something went wrong. Please contact PayPal customer service.","За съжаление, но нещо се обърка. Моля свържете се сPayPal обслужване на клиенти."
"A reversal has occurred on this transaction due to a chargeback by your customer.","Възникна отмяна на тази транзакция поради сторниране на плащане от вашия клиент."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","Възникна промяна в тази транзакция, тъй като клиентът задейства гаранция за връщане на парите."
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","Възникна отмяна на тази транзакция поради жалба относно транзакцията от вашия клиент."
"A reversal has occurred on this transaction because you have given the customer a refund.","Възникна отмяна на тази транзакция, защото сте върнали на клиента сумата."
"Reversal of an adjustment.","Отмяна на корекция."
"Transaction reversal due to fraud detected by PayPal administrators.","Отмяна на транзакцията поради измама, открита от администраторите на PayPal."
"Transaction reversal by PayPal administrators.","Отмяна на транзакция от администратори на PayPal."
"Reimbursement for a chargeback.","Възстановяване на връщане на плащане."
"Settlement of a chargeback.","Уреждане на сторниране на плащане."
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","Възникна промяна в тази транзакция поради клиентски спор, който подозира неоторизирана измама."
"Buyer claims that he did not receive goods or service.","Купувачът потвърди, че не е получил поръчката."
"Buyer claims that the goods or service received differ from merchant’s description of the goods or service.","Купувачът потвърди, че получените продукти се различават с описаното от производителя."
"Buyer claims that he/she did not authorize transaction.","Купувачът твърди, че той/тя не е разрешил транзакцията."
"A case that has been resolved and close requires a reimbursement.","Случай, който е разрешен и приключен, изисква възстановяване на разходите."
"Buyer claims that a possible duplicate payment was made to the merchant.","Купувачът твърди, че е извършено възможно двойно плащане към търговеца."
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.","Купувачът твърди, че получената стока е незадоволителна, дефектна или повредена."
"Unknown reason. Please contact PayPal customer service.","Неизвестен фактор. Моля свържете се с PayPal обслужване на клиенти."
"Payer ID","ID на платеца"
"Payer Email","Имейл на платеца"
"Payer Status","Състояние на платеца"
"Payer Address ID","Адресно ID на платеца"
"Payer Address Status","Статус на адреса на платеца"
"Merchant Protection Eligibility","Условия за защита на търговеца"
"Triggered Fraud Filters","Филтри за задействани измами"
"Address Verification System Response","Address Verification Системи Response"
"Buyer's Tax ID","Данъчен номер на купувача"
"Buyer's Tax ID Type","ИД тип данък на купувача"
Chargeback,"Обратно плащане"
Complaint,Оплакване
Dispute,Спор
"Matched Address only (no ZIP)","Само съвпадащи адреси (без пощенски код)"
"Matched Address only (no ZIP) International","Съвпадащ адрес само (без ZIP) Международен"
"No Details matched","Няма съвпадение на подробностите"
"No Details matched. International","Няма съвпадение на подробностите. Международен"
"Exact Match.","Точно съвпадение."
"Exact Match. Address and Postal Code. International","Точно съвпадение. Адрес и пощенски код. международен"
"Exact Match. Address and Postal Code. UK-specific","Точно съвпадение. Адрес и пощенски код. Специфично за Обединеното кралство"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N/A. Not allowed for MOTO (Internet/Phone) Транзакции"
"N/A. Global Unavailable","N/A Глобално недостъпно"
"N/A. International Unavailable","N/A Международно недостъпно"
"Matched five-digit ZIP only (no Address)","Съвпадащ само петцифрен ZIP (без адрес)"
"Matched Postal Code only (no Address)","Съвпадащ пощенски код само (без адрес)"
"N/A. Retry","N/A Опитайте отново"
"N/A. Service not Supported","N/A Услугата не се поддържа"
"N/A. Unavailable","N/A Недостъпно"
"Matched whole nine-digit ZIP (no Address)","Съвпадащ цял деветцифрен ZIP (без адрес)"
"Yes. Matched Address and five-digit ZIP","Да. Съвпадащ адрес и петцифрен пощенски ZIP код"
"All the address information matched","Цялата информация за адреса съвпада"
"None of the address information matched","Нито една информация за адреса не съответства"
"Part of the address information matched","Част от информацията за адреса съвпада"
"No match","Няма съвпадения"
"N/A. Not processed","N/A. Не се обработват"
"N/A. Service not supported","N/A. Услугата не се подържа"
"N/A. Service not available","N/A. Услугата не е налична"
"N/A. No response","N/A. Няма отговор"
"Note: %1","Бележка %1"
"You notified customer about invoice #%1.","You notified customer about Фактура #%1."
"We cannot cancel this order.","Не можем да анулираме тази поръчка."
"You notified customer about creditmemo #%1.","Уведомихте клиента за кредитно известие #%1."
"Unable to fetch transaction details.","Не може да се извлекат подробности за транзакцията."
"Invalid method %1::%2","Невалиден метод за %1::%2"
"Transaction has been declined","Транзакцията беше отхвърлена"
"We cannot send the new order email.","Не можем да изпратим имейл за новата поръчка."
"Payment error. %value was not found.","Грешка при плащане. %value не беше намерена."
"You need an authorization transaction to void.","Имате нужда от транзакция за оторизация, за да анулирате."
"We can't issue a refund transaction because there is no capture transaction.","Не можем да издаваме възстановяване на транзакция, защото няма направена сделка."
"We cannot create a target file for reading reports.","We cannot create a target file for reading Доклади."
"Report Date","Дата на доклада"
"Merchant Account","Профил на търговец"
"Invoice ID","Фактура ID"
"PayPal Reference ID","Референтно ID на PayPal"
"PayPal Reference ID Type","Тип на референтно PayPal ID"
"Event Code","Код на събитието"
"Finish Date","Крайна дата"
"Debit or Credit","Дебитна или кредитна карта"
"Gross Amount","Брутна сума"
"Fee Debit or Credit","Дебитна или кредитна такса"
"Fee Amount","Сума на таксата"
"Preapproved Payment ID","Предварително одобрен идентификационен номер за плащане"
"Subscription ID"," ID на абонамента"
Debit,Дебит
"ACH Funding for Funds Recovery from Account Balance","ACH Funding for Funds Recovery from потребителски профил Balance"
"Account-to-Account Payment, initiated by PayPal","потребителски профил-to-потребителски профил Payment, initiated by PayPal"
"Auction Payment other than through eBay","Плащане на търг, различно от eBay"
"Available Balance","Наличен баланс"
"Balance Manager Account Bonus","Balance Manager потребителски профил Bonus"
"Buyer Credit Payment","Кредитно плащане на купувача"
Charge-off,Зареждане
"Coupon Redemption","Изкупуване на купон"
"Currency Conversion required to cover negative balance","Изисква се конвертиране на валута за покриване на отрицателното салдо"
"Debit Card Cash Back","Пари обратно в дебитна карта"
"Debit Card Transaction","Транзакция с дебитна карта"
"Direct Payment API","API за директно плащане"
"EFT Funding (German banking)","EFT финансиране (немско банкиране)"
"Express Checkout APIs","API за експресно плащане"
"Fee Reversal","Обратна такса"
"Fee: Foreign ACH Withdrawal","Такса: Теглене на ACH в чужбина"
"Fee: Mass Pay Request","Такса: Заявка за масово плащане"
"Fee: Web Site Payments Pro Account Monthly","Fee: Web Site Payments Pro потребителски профил Monthly"
"Fee: WorldLink Check Withdrawal","Такса: Теглене на чек на WorldLink"
Funding,Финансиране
"General (Authorization)","Общи (упълномощаване)"
"General (Dividend)","Общо (дивидент)"
"General (Funds Transfer from PayPal Account to Another)","General (Funds Transfer from PayPal потребителски профил to Another)"
